what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1301886115199
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20101130,"org.eclipse.pde.runtime",1301886115199
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100628,"org.eclipse.pde.ua.ui",1301886115199
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20101206,"org.eclipse.pde.ui.templates",1301886115200
stopped,bundle,org.eclipse.rap.ui.launch,1.4.0.20110315-1210,"org.eclipse.rap.ui.launch",1301886115201
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20110304,"org.eclipse.pde.ui",1301886115201
stopped,bundle,org.eclipse.ant.ui,3.5.100.v20110221,"org.eclipse.ant.ui",1301886115204
stopped,bundle,org.eclipse.ant.launching,1.0.100.v20110228,"org.eclipse.ant.launching",1301886115204
stopped,bundle,org.eclipse.egit.ui,0.11.3,"org.eclipse.egit.ui",1301886115207
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110222-0044,"org.eclipse.equinox.p2.ui.sdk",1301886115207
stopped,bundle,org.eclipse.mylyn.java.tasks,3.5.0.v20110316-0100,"org.eclipse.mylyn.java.tasks",1301886115208
stopped,bundle,org.eclipse.mylyn.java.ui,3.5.0.v20110316-0100,"org.eclipse.mylyn.java.ui",1301886115208
stopped,bundle,org.eclipse.jdt.junit,3.7.0.v20110306-1700,"org.eclipse.jdt.junit",1301886115209
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20110305-1450,"org.eclipse.jdt.apt.ui",1301886115209
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110207,"org.eclipse.jdt.debug.ui",1301886115210
stopped,bundle,org.eclipse.jdt.ui,3.7.0.v20110309-1800,"org.eclipse.jdt.ui",1301886115210
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103082225,"org.eclipse.wst.dtd.ui",1301886115211
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.404.v201103100444,"org.eclipse.wst.xsd.ui",1301886115213
stopped,bundle,org.eclipse.wst.xml.ui,1.1.200.v201103092149,"org.eclipse.wst.xml.ui",1301886115213
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1301886115213
stopped,bundle,org.eclipse.wst.sse.ui,1.3.0.v201103081945,"org.eclipse.wst.sse.ui",1301886115214
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201102180808,"org.eclipse.cdt.codan.checkers.ui",1301886115215
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,1.0.0.201102180808,"org.eclipse.cdt.codan.ui.cxx",1301886115215
stopped,bundle,org.eclipse.cdt.codan.ui,1.1.0.201102180808,"org.eclipse.cdt.codan.ui",1301886115215
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102180808,"org.eclipse.cdt.debug.mi.ui",1301886115216
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.0.201102180808,"org.eclipse.cdt.dsf.gdb.ui",1301886115217
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.0.201102180808,"org.eclipse.cdt.dsf.ui",1301886115217
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201102180808,"org.eclipse.cdt.gdb.ui",1301886115219
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.0.201102180808,"org.eclipse.cdt.dsf.gdb",1301886115222
